Sun Jun 21 19:01:21 +0000 2015	I've contributed  (y:d:h:m:s) 0:175:17:28:32  to cutting edge research @WCGrid  please join me at: http://t.co/mYZVdxnyUE #Ebola #cancer	
Sun Jun 21 19:01:26 +0000 2015	@GeroMediina @Francoperalta01 en esta lo banco a el, encima resentido dice, no sabes nada, tiene razón Peralta nos llenas de ebola jajaj	
Sun Jun 21 19:01:39 +0000 2015	NYTimes: Genome Studies Show How Ebola Spread Initially http://t.co/gdyG7Bpo47	
Sun Jun 21 19:01:43 +0000 2015	#OldPosts: EBOLA: NIGERIANS BEWARE! Salty Water, Oil... http://t.co/PO662W6Psr	
Sun Jun 21 19:01:50 +0000 2015	Kim Jong-Un Reportedly Has A Miracle Drug That Can Cure Ebola, AIDS, And MERS... http://t.co/imctw1z2Ax http://t.co/C0LC2OQg4F	
Sun Jun 21 19:01:50 +0000 2015	517 Military Field Manuals Collection DVD (US) medical, tactics Ebola Fema Army http://t.co/a9N0btsgyZ http://t.co/eExN6twoXT	
Sun Jun 21 19:01:57 +0000 2015	Ebola is hurting West African economies youtube original: http://t.co/ULsFRWZYI3 via @YouTube	
Sun Jun 21 19:02:02 +0000 2015	Helping #Ebola survivors in Liberia to rebuild their lives one step at a time @allafrica http://t.co/FbgqnwfKcP	
Sun Jun 21 19:02:08 +0000 2015	RT @JUROLLA: Minha avó sempre disse q comunistas comiam criancinhas. Pelo tam da barriga da Alu deve mesmo ter um monte lá dentro https://t…	
Sun Jun 21 19:02:09 +0000 2015	With low numbers of new cases, Ebola vaccine trials fight odds of success - CTV News: CTV NewsWith low numbers... http://t.co/kjiU57jIJm	
Sun Jun 21 19:02:22 +0000 2015	@LouisIsMinexxx 11 to ebola, 12 to rak ;;	
Sun Jun 21 19:02:27 +0000 2015	With low numbers of new cases, Ebola vaccine trials fight odds of success http://t.co/hlkr2ckD5s	
Sun Jun 21 19:02:45 +0000 2015	RT @ViralesPOP: Divertida ocurrencia del gato Tom sobre la nueva enfermedad peor que el ebola (+VÍDEO)http://t.co/6JhMuymg9U http://t.co/N…	
Sun Jun 21 19:02:45 +0000 2015	RT @ViralesPOP: Divertida ocurrencia del gato Tom sobre la nueva enfermedad peor que el ebola (+VÍDEO)http://t.co/6JhMuymg9U http://t.co/N…	
Sun Jun 21 19:02:45 +0000 2015	RT @ViralesPOP: Divertida ocurrencia del gato Tom sobre la nueva enfermedad peor que el ebola (+VÍDEO)http://t.co/6JhMuymg9U http://t.co/N…	
Sun Jun 21 19:02:53 +0000 2015	RT @VICE: Kim Jong-un has cured cancer, ebola, and AIDS so that's great http://t.co/jg7zF7MSNO	
Sun Jun 21 19:03:07 +0000 2015	RT @RayNarvaezJr: Hey Kim Jong-un, I just played Trials of Osiris for the first time and got AIDS, Ebola and Cancer. Can I try one of your …	
Sun Jun 21 19:03:07 +0000 2015	With low numbers of new cases, Ebola vaccine trials fight odds of success - CTV News http://t.co/WseA5e0SxL #world #health	
Sun Jun 21 19:03:16 +0000 2015	RT @davidadams10: First-ever baby born at the @GOAL_Global Ebola Treatment Centre in Port Loko has been named, Michelle Martha #Ebola http:…	
Sun Jun 21 19:03:18 +0000 2015	Genome studies show how Ebola spread initially http://t.co/49O2dMoWtl	
Sun Jun 21 19:03:30 +0000 2015	RT @cordekroon: Wauw! Panace bestaat! https://t.co/Pg1SGSxXbo	
Sun Jun 21 19:03:48 +0000 2015	North Korea Has Found The Cure For AIDS, Ebola, Cancer, And Bird Flu http://t.co/7LHmKuL3i6 #science #tech	
Sun Jun 21 19:03:49 +0000 2015	North Korea Has Found The Cure For AIDS, Ebola, Cancer, And Bird Flu http://t.co/yvrXNbLsf2 #science #tech	
Sun Jun 21 19:03:53 +0000 2015	Sérieusement , il me faudrait Ebola cette nuit pour que je ne puisse pas aller à ce putain de bac ! Je le sent trop mal ! 😵	
Sun Jun 21 19:03:57 +0000 2015	There's no need to be afraid of the world anymore! North Korea found a cure for AIDS, Ebola and my anxiety. 😊❤️	
